Month,Lyxor UCITS ETF DJ Industrial Average FCP -USD (JC6-SG),Lyxor UCITS ETF MSCI Europe USD (JC5-SG),db x-trackers MSCI Emerging Markets Index UCITS ETF -2C (J0M-SG),db x-trackers MSCI China Index UCITS ETF (DR) 1C (LG9-SG),db x-trackers MSCI India TRN Index UCITS ETF (LG8-SG),db x-trackers MSCI Russia Capped Index UCITS ETF -2D (J0R-SG),iShares JPMorgan USD Asia Credit Bond Index ETF (N6M-SG),iShares Barclays USD Asia High Yield Bond Index ETF (O9P-SG),db x-trackers II IBOXX USD TREASURIES INFLATION-LINKED UCITS ETF (DR) (KF5-SG),db x-trackers II Eurozone Government Bond UCITS ETF (DR) 1C (KF6-SG)
Dec-2011,12.34,10.85,3.52,10.2,7.18,2.69,9.78,9.93,268,216.38
Jan-2012,12.75,10.85,3.9,11.23,8.52,3.13,9.99,10.25,272.25,216.38
Feb-2012,13.16,12.29,4.19,11.74,9.06,3.43,10.09,10.43,276.25,216.38
Mar-2012,13.38,12.29,4.05,11.04,8.35,3.22,10.11,10.45,273.04,235.88
Apr-2012,13.38,12.03,3.94,11.35,8.1,3.15,10.25,10.59,278.62,233.77
May-2012,12.54,10.72,3.57,10.15,7.09,2.65,10.08,10.39,279.68,225.62
Jun-2012,13.09,11.1,3.53,10.47,7.45,2.72,10.27,10.43,283.48,223.36
Jul-2012,12.9,10.8,3.52,10.66,7.59,2.88,10.57,10.77,285.7,218.2
Aug-2012,12.9,11.74,3.71,10.27,7.77,2.94,10.65,10.96,284,229.06
Sep-2012,13.53,12.46,3.87,10.96,8.91,3.06,10.66,10.93,285.34,236.93
Oct-2012,13.33,11.96,3.9,11.5,8.6,2.93,10.75,11.14,288.5,240.7
Nov-2012,13.32,12.36,3.9,11.82,8.83,2.9,10.87,11.32,289.57,237.39
Dec-2012,13.32,12.62,4.08,12.25,8.96,3.07,10.7,11.14,289.6,250.29
Jan-2013,13.35,13.38,4.18,12.76,9.34,3.26,10.74,11.29,286.53,255.42
Feb-2013,14.13,12.95,4.11,12.17,8.9,3.26,10.73,11.3,286.2,247.86
Mar-2013,14.62,13.19,4.02,11.81,8.5,2.99,10.73,11.18,286.67,242.86
Apr-2013,14.96,13.09,4.04,11.85,8.88,2.87,10.81,11.24,287.62,254.8
May-2013,15.3,13.65,3.94,11.71,8.93,2.91,10.6,11.18,283.55,249.91
Jun-2013,15.4,13.51,3.5,10.65,7.71,2.64,9.92,10.35,283.55,249.91
Jul-2013,15.73,13.11,3.78,11.45,7.91,2.76,10.2,10.63,265.82,253.53
Aug-2013,15.14,13.85,3.58,11.58,6.67,2.85,9.87,10.45,269.18,251.88
Sep-2013,15.63,14.61,3.94,12.51,7.89,3.18,10.17,10.57,267.2,258.37
Oct-2013,15.54,15.29,4.12,12.21,8.45,3.25,10.22,10.7,269.5,265.67
Nov-2013,16.5,15.37,4.01,13.06,8.19,3.08,10.11,10.72,269.5,265.22
Dec-2013,16.59,15.43,3.95,12.66,8.23,3.01,9.95,10.56,261.1,266.93
Jan-2014,16,14.97,3.69,11.89,8.48,2.96,10.24,10.52,266.36,268.98
Feb-2014,15.89,15.49,3.77,11.78,8.33,2.69,10.26,10.72,267.11,272.88
Mar-2014,16.61,16.05,3.9,11.88,9,2.55,10.15,10.56,266.6,272.88
Apr-2014,16.73,15.84,3.94,11.61,9.09,2.42,10.42,10.8,270.12,282.15
May-2014,16.75,16.22,4.12,12.17,9.93,2.78,10.53,10.96,271.3,282.15
Jun-2014,17.09,16.53,4.18,12.45,10.2,2.92,10.5,10.84,277.55,282.35
Jul-2014,17.05,15.5,4.3,13.59,10.49,2.68,10.56,11.03,277.45,284.72
Aug-2014,17.22,15.53,4.37,13.71,10.65,2.68,10.6,11.04,279.54,281.49
Sep-2014,17.58,14.8,4.08,12.92,10.39,2.45,10.48,10.88,272.01,273.64
Oct-2014,17.4,14.44,4.06,13.21,10.39,2.45,10.63,10.88,274.67,268.8
Nov-2014,18.04,14.86,4.06,13.4,11.01,2.19,10.61,10.9,275.33,267.78
Dec-2014,18.02,14.22,3.84,13.45,10.26,1.76,10.56,10.53,271.9,265.75
Jan-2015,17.67,14.16,3.83,13.82,11.2,1.66,10.78,10.59,279.3,264.99
Feb-2015,18.4,15,3.96,14.31,11.32,1.99,10.6,10.79,279.3,256.5
Mar-2015,18.4,14.88,3.9,14.62,10.7,1.94,10.62,10.62,276.36,246.45
Apr-2015,18.33,15.17,4.29,17.26,10.12,2.2,10.67,10.73,278.35,251.9
May-2015,18.5,15.35,4.09,16.45,10.28,2.13,10.63,10.79,274.34,242.11
Jun-2015,18.08,14.85,3.89,15.49,10.34,1.99,10.47,10.66,275,239.64
Jul-2015,18.08,14.56,3.73,13.67,10.47,1.9,10.45,10.7,271.67,241.14
Aug-2015,16.79,13.61,3.32,12.19,9.65,1.8,10.29,10.32,271.95,245.25
Sep-2015,16.2,13.07,3.2,11.96,9.44,1.75,10.22,10.25,271.95,247.79
Oct-2015,17.45,13.73,3.53,13.14,9.88,1.83,10.46,10.75,269.95,246.16
Nov-2015,17.45,13.51,3.32,12.61,9.31,1.83,10.43,10.55,267.57,237.3
Dec-2015,17.68,13.53,3.23,12.41,9.39,1.65,10.25,10.2,266.64,242.27
Jan-2016,16.25,12.44,2.95,10.76,8.79,1.59,10.29,10.29,268.68,246.14
Feb-2016,16.66,12.09,3,10.56,8.29,1.62,10.46,10.28,271.51,248.72
Mar-2016,17.86,12.99,3.43,11.8,9.27,1.85,10.47,10.37,279.99,260.71
Apr-2016,18.02,13.35,3.45,11.83,9.22,2.05,10.67,10.58,280.79,258.55
May-2016,18.12,13.26,3.32,11.74,9.46,1.94,10.66,10.66,279.21,254.7
Jun-2016,18,12.52,3.44,11.72,9.55,1.94,10.85,10.69,284.6,259.64
Jul-2016,18.45,12.59,3.61,12.23,10.1,1.95,11.02,10.95,286.98,261.25
Aug-2016,18.53,12.78,3.73,13.14,10.21,2.05,11.07,10.96,287,262.98
Sep-2016,18.25,12.61,3.72,13.54,10.06,2.12,10.97,10.87,288.66,263.83
Oct-2016,18.32,12.56,3.74,13.23,10.02,2.12,10.93,10.96,286.04,259.19
Nov-2016,19.42,12.24,3.55,13.05,9.3,2.19,10.63,10.82,280.68,242.21
Dec-2016,19.87,12.67,3.56,12.47,9.22,2.48,10.44,10.7,279.33,241.94
